Siglec5	8.09018E-14	8.13387E-10	0	0	5.540754458	8.101300927	9.139314423	9.614599936	0.154007431	1
Rac2	3.22981E-11	1.74246E-07	1.6006E-175	2.3031E-171	5.413807743	7.101464448	7.788325321	8.472091241	0.494174151	0.979591837
Ptprc	1.08472E-14	2.18115E-10	0	0	5.317999802	5.98303165	6.254195544	6.406249371	0.062433664	0.959183673
St6galnac6	1.96982E-09	2.6406E-06	1.8901E-265	2.7347E-261	4.588685237	5.591255104	5.999471768	6.22530287	0.103731328	0.857142857
Tm4sf4	1.75954E-09	4.80029E-07	7.0064E-193	1.0097E-188	3.783307243	5.376239758	7.727897413	10.87687217	2.04990807	1
Smpx	4.17705E-10	7.63564E-07	4.8154E-246	6.9606E-242	3.6605224	6.141398126	7.164689441	7.822420523	0.508317632	1
Ptgs1	1.43342E-06	0.000301703	4.2629E-291	6.1735E-287	3.577342007	5.899138767	6.846792057	7.346554413	0.184109941	0.918367347
C2	1.25118E-07	4.65904E-05	2.2916E-127	3.2665E-123	3.542507483	3.854984873	4.08874315	4.457418677	0.336368672	0.693877551
Cpvl	1.21419E-07	4.60659E-05	7.0527E-222	1.0182E-217	3.385621715	4.150134578	4.461054308	4.632647209	0.084894854	0.755102041
Fcna	2.05259E-06	0.000385733	2.4909E-267	3.6043E-263	3.334758477	4.434741587	4.885861178	5.118662185	0.084325051	0.816326531
Fbxl21	5.12277E-09	4.47863E-06	1.5273E-242	2.207E-238	3.321639157	4.71537352	5.283482926	5.621877724	0.199371075	0.897959184
Ceacam2	5.71533E-08	2.84746E-05	4.313E-123	6.1352E-119	3.315831995	3.852121781	4.07296437	4.34656878	0.236298797	0.775510204
S100a1	1.27322E-09	9.40396E-07	4.8577E-138	6.9436E-134	3.27595276	4.255163886	5.010959404	8.665153418	3.23104815	1
Spa17	2.39846E-07	3.8224E-05	4.2448E-127	6.0496E-123	3.269555441	3.598495464	3.860600369	4.366391377	0.476175304	0.734693878
Sucnr1	1.07708E-05	0.001514535	1.3438E-281	1.9457E-277	3.230665004	5.135665999	5.908080899	6.283105677	0.128890421	0.857142857
Gde1	2.7371E-09	2.89672E-06	1.3364E-259	1.933E-255	3.209802353	5.115333317	6.733003276	8.627277184	1.110311517	1
Kcnj16	1.83548E-06	0.000354882	1.72529E-97	2.42887E-93	3.147964684	3.493758228	3.637430725	3.807884092	0.128908259	0.653061224
AA467197	1.42866E-07	5.22317E-05	1.0147E-142	1.4528E-138	3.132383023	4.44587131	5.916388229	9.293381788	2.534947363	0.959183673
Cd300lf	3.40831E-06	0.000590813	1.2412E-243	1.7938E-239	3.109493322	5.603296761	6.613514343	7.109876917	0.200225404	0.93877551
Trim38	2.93532E-07	9.42394E-05	9.181E-180	1.3215E-175	3.040176661	3.621418264	3.993995958	4.349167243	0.228257191	0.653061224
Vmn2r26	7.40744E-09	5.51662E-06	9.2289E-181	1.3285E-176	2.96278249	3.096723331	3.154698693	3.204630861	0.024832571	0.612244898
Gcnt1	1.40451E-08	9.11027E-06	1.3078E-267	1.8926E-263	2.953753851	3.551632474	3.794286896	3.912202923	0.043164214	0.816326531
Irf7	3.3059E-07	9.92163E-05	1.539E-133	2.1978E-129	2.869114868	3.682382161	4.326601125	5.601780383	0.967310055	0.857142857
Plk2	0.000143092	0.011066517	1.4208E-208	2.0501E-204	2.846445083	4.886165436	5.740141593	6.409403842	0.408538337	0.87755102
Glyctk	2.08415E-06	0.000388038	4.8618E-147	6.9694E-143	2.82673275	3.72869506	4.103212416	4.599384878	0.387893556	0.816326531
Krt23	1.84849E-07	6.52094E-05	1.648E-193	2.3755E-189	2.814405643	5.705416045	7.292422572	9.352924454	2.091689497	1
Tmem116	4.91155E-05	0.004999713	4.4844E-238	6.4777E-234	2.781674719	4.926965046	5.799509319	6.277398338	0.262959824	0.87755102
Fam188a	6.56481E-06	0.000987589	2.3508E-113	3.3341E-109	2.767332492	3.673070045	4.237610327	6.384542271	1.967934671	0.959183673
Bmp2	3.24853E-06	0.000570078	7.9364E-204	1.1447E-199	2.700829018	3.85267286	4.397575407	5.153336857	0.466669302	0.93877551
Ctsc	2.47169E-09	2.76115E-06	1.3363E-141	1.9129E-137	2.687334902	3.589185484	5.199952485	9.248987212	3.70971749	0.979591837
Tspan6	3.53706E-07	0.000100641	6.472E-246	9.354E-242	2.68466338	7.030806371	8.799320913	9.994121151	0.697163272	1
Slc25a20	3.34875E-09	3.20651E-06	1.3251E-136	1.8934E-132	2.546761685	3.81691844	4.838073087	7.975735404	2.972111587	1
Pigc	5.95147E-05	0.005671668	3.24915E-89	4.55141E-85	2.431513704	3.012998021	3.425550035	5.481058986	2.055956833	0.93877551
Folr1	2.52382E-05	0.00302077	1.6319E-131	2.3287E-127	2.394482607	2.762745132	2.912957462	2.993710416	0.040952992	0.489795918
Mlip	1.3501E-06	0.000291912	4.7886E-186	6.897E-182	2.367100402	2.897964173	3.114013678	3.247611919	0.073070433	0.673469388
B4galt4	4.84452E-05	0.004977549	3.4916E-126	4.9728E-122	2.366950216	3.645318092	4.420226005	6.428085958	1.660837405	0.959183673
Txndc16	6.39702E-05	0.006067509	2.3866E-126	3.3995E-122	2.346219548	3.514492442	4.263411761	5.697306212	1.725709348	0.959183673
Ptpn18	1.02227E-07	4.11115E-05	1.2017E-159	1.7264E-155	2.322174373	5.204784743	6.459750759	10.50733149	3.652468808	1
Ccdc23	0.000549385	0.030163547	1.90498E-71	2.62182E-67	2.284188899	3.020838894	3.628961622	5.821784338	2.256720803	0.857142857
Capg	0.002118887	0.075276645	3.3382E-110	4.7283E-106	2.252540194	2.913459618	3.671625458	4.786146234	0.767929941	0.673469388
Ly6g6d	8.1699E-05	0.007237022	1.3811E-280	1.9996E-276	2.225265343	6.063383752	7.620718695	8.421274464	0.374906312	0.979591837
Basp1	3.77888E-08	2.11071E-05	6.6753E-192	9.6184E-188	2.216233803	2.420953129	2.504729439	2.553536604	0.019238509	0.632653061
Abhd4	0.000565875	0.030505661	5.53217E-49	7.33565E-45	2.209261772	2.34463518	2.798247596	5.643476503	2.813425434	0.897959184
Plek	6.90683E-07	0.00017146	1.8172E-90	2.54735E-86	2.193038135	2.281422878	2.320908798	2.366399175	0.047891204	0.510204082
Ms4a8a	3.4662E-11	1.74246E-07	1.5502E-160	2.2273E-156	2.190808405	3.31976059	5.176530438	10.01286787	3.608475801	1
Cwh43	0.004513662	0.123830866	7.6105E-279	1.1017E-274	2.183100889	4.837681724	5.922445322	6.482144033	0.178395562	0.857142857
Tm7sf2	0.000159342	0.011876797	3.75658E-40	4.87003E-36	2.138034824	2.113619803	2.529184335	4.493115021	2.138447674	0.795918367
